zip_code,city,state,metro,county,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017_zhvi_avg,2017_zhvi_max,2017_zhvi_min
32162,The Villages,FL,The Villages,Sumter County,251016,251302,252109,253407,253594,253418,253282,253486,253995,254522,255039,255790,253413.3333,255790,251016
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,931701,929177,924739,919894,917517,915806,915362,914302,912552,912687,910695,911996,918035.6667,931701,910695
34787,Winter Garden,FL,Orlando-Kissimmee-Sanford,Orange County,301134,302905,304677,306201,306948,308755,309887,311189,312883,314094,315892,317213,309314.8333,317213,301134
33411,Royal Palm Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,300033,301948,303285,304672,305836,307211,308614,310531,313126,315361,316613,317079,308692.4167,317079,300033
33025,Miramar,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,271593,272940,274246,276996,278502,279607,280771,282854,285128,286760,288063,289577,280586.4167,289577,271593
33139,Miami Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1926746,1920656,1912861,1910474,1907856,1907209,1908527,1917551,1922612,1925114,1914592,1913516,1915642.833,1926746,1907209
32210,Jacksonville,FL,Jacksonville,Duval County,114006,115105,116048,116619,116896,117356,118474,119990,121472,123070,124698,126474,119184,126474,114006
33908,Fort Myers,FL,Cape Coral-Fort Myers,Lee County,342502,341562,341444,342052,343807,344183,344776,344465,344218,343493,343142,343123,343230.5833,344776,341444
33024,Pembroke Pines,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,257239,258087,258811,261409,263085,264530,265697,267697,269888,271721,273016,274620,265483.3333,274620,257239
33647,Tampa,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,289000,289662,289873,291052,292393,294114,294764,295671,296183,296719,297698,298287,293784.6667,298287,289000
34135,Bonita Springs,FL,Cape Coral-Fort Myers,Lee County,354646,353650,353791,354173,355950,355932,356354,355930,355542,355004,354468,354289,354977.4167,356354,353650
32218,Jacksonville,FL,Jacksonville,Duval County,157795,159637,161508,162438,162631,162858,163602,165109,166582,168103,169777,171576,164301.3333,171576,157795
32256,Jacksonville,FL,Jacksonville,Duval County,304752,307815,310968,312130,312610,313056,314000,315411,316641,318158,320288,322205,314002.8333,322205,304752
34711,Clermont,FL,Orlando-Kissimmee-Sanford,Lake County,237662,239430,240820,242430,243731,245514,246749,247179,247583,247688,248803,250259,244820.6667,250259,237662
33009,Hallandale,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,234633,236356,237633,239435,240665,241526,242895,245227,247966,249962,252057,254296,243554.25,254296,234633
32244,Jacksonville,FL,Jacksonville,Duval County,136711,138530,140484,141560,142110,142747,143694,145113,146413,147867,149459,151204,143824.3333,151204,136711
32822,Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,163486,165258,167363,169495,171262,173291,175118,176944,178951,180606,182367,183929,174005.8333,183929,163486
34953,Port Saint Lucie,FL,Port St. Lucie,Saint Lucie County,203479,204394,205799,206934,208523,210417,211886,213573,214971,216787,218619,220035,211284.75,220035,203479
33186,The Crossings,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,305752,307798,309210,310198,311959,313755,315086,317185,318892,321500,321948,323657,314745,323657,305752
33012,Hialeah,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,302176,304532,305878,307160,309776,312259,314628,316839,318353,321298,322600,325309,313400.6667,325309,302176
32174,Ormond Beach,FL,Deltona-Daytona Beach-Ormond Beach,Volusia County,221095,222623,224295,226606,228199,229797,230884,231954,233989,236541,238871,240386,230436.6667,240386,221095
33063,Margate,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,242742,243715,244587,247123,248770,250525,251909,254124,256341,258247,259797,261591,251622.5833,261591,242742
33064,Pompano Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,203434,205565,207590,210690,212732,214708,216598,219046,221286,223250,224907,226756,215546.8333,226756,203434
33027,Miramar,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,377266,377787,378477,381083,382205,383242,383824,385468,387131,388709,389779,391602,383881.0833,391602,377266
